,EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours
50,51,M,Burnaby,Baker,Bakery,Burnaby,Stores,30.0,7.56,3.74
51,52,M,Penticton,Baker,Bakery,Kelowna,Stores,44.0,0.39,38.07
52,53,M,New Westminster,Baker,Bakery,New Westminster,Stores,50.0,5.7,116.23
53,54,F,Nanaimo,Baker,Bakery,Nanaimo,Stores,35.0,4.72,0.0
54,55,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,29.0,3.28,0.0
55,56,F,Sidney,Baker,Bakery,Victoria,Stores,50.0,3.65,77.13
56,57,M,Coquitlam,Baker,Bakery,Nanaimo,Stores,25.0,4.8,0.0
57,58,M,Chilliwack,Baker,Bakery,Chilliwack,Stores,43.0,4.12,24.79
58,59,M,Okanagan Mission,Baker,Bakery,Kelowna,Stores,54.0,4.06,121.45
59,60,M,New Westminster,Baker,Bakery,New Westminster,Stores,44.0,4.2,59.78
60,61,M,Ganges,Baker,Bakery,Victoria,Stores,43.0,5.1,55.62
61,62,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,56.0,10.62,0.0
62,63,F,Prince George,Baker,Bakery,Prince George,Stores,31.0,0.78,0.0
63,64,M,Atlin,Baker,Bakery,Terrace,Stores,43.0,5.84,55.06
64,65,F,Kamloops,Baker,Bakery,Kamloops,Stores,36.0,3.68,44.63
65,66,M,Whistler,Baker,Bakery,Squamish,Stores,39.0,5.75,42.46
66,67,F,Surrey,Baker,Bakery,Surrey,Stores,23.0,5.9,0.0
67,68,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40.0,11.89,0.0
68,69,F,Spences Bridge,Baker,Bakery,Kamloops,Stores,47.0,2.02,107.8
69,70,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44.0,12.31,78.84
70,71,M,New Westminister,Baker,Bakery,New Westminister,Stores,53.0,4.59,110.15
71,72,F,Gibsons,Baker,Bakery,West Vancouver,Stores,36.0,3.95,33.93
72,73,M,Vernon,Baker,Bakery,Vernon,Stores,42.0,3.39,28.6
73,74,F,Burnaby,Baker,Bakery,Burnaby,Stores,41.0,3.29,44.99
74,75,F,Fauquier,Baker,Bakery,Trail,Stores,47.0,1.99,126.5
75,76,F,Victoria,Baker,Bakery,Victoria,Stores,45.0,5.57,19.62
76,77,M,Kamloops,Baker,Bakery,Kamloops,Stores,38.0,6.1,0.0
77,78,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35.0,8.35,44.97
78,79,F,Mackenzie,Baker,Bakery,Prince George,Stores,42.0,4.71,45.95
79,80,F,New Westminster,Baker,Bakery,New Westminster,Stores,44.0,1.78,83.32
80,81,F,Squamish,Baker,Bakery,Squamish,Stores,54.0,2.87,136.34
81,82,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,46.0,4.42,53.31
82,83,F,Gold Bridge,Baker,Bakery,Kamloops,Stores,48.0,4.25,96.61
83,84,F,Penticton,Baker,Bakery,Kelowna,Stores,52.0,2.96,140.91
84,85,M,Victoria,Baker,Bakery,Victoria,Stores,33.0,2.3,31.69
85,86,M,New Westminster,Baker,Bakery,New Westminster,Stores,48.0,4.15,12.68
86,87,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35.0,13.83,54.3
87,88,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,37.0,18.64,0.0
88,89,F,Duncan,Baker,Bakery,Quesnel,Stores,45.0,6.84,103.35
89,90,F,Kelowna,Baker,Bakery,Kelowna,Stores,27.0,3.98,0.0
90,91,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,38.0,3.57,49.85
91,92,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40.0,1.22,58.29
92,93,M,Victoria,Baker,Bakery,Victoria,Stores,49.0,5.53,110.81
93,94,F,Fort Fraser,Baker,Bakery,Prince George,Stores,52.0,5.33,158.68
94,95,F,Victoria,Baker,Bakery,Victoria,Stores,38.0,4.68,73.48
95,96,M,Nelson,Baker,Bakery,Nelson,Stores,29.0,4.85,2.19
96,97,F,New Westminster,Baker,Bakery,New Westminster,Stores,51.0,4.95,99.81
97,98,F,Kamloops,Baker,Bakery,Kamloops,Stores,39.0,1.91,34.78
98,99,F,Kaslo,Baker,Bakery,Cranbrook,Stores,27.0,4.85,0.0
99,100,F,Burnaby,Baker,Bakery,Burnaby,Stores,47.0,7.41,81.74
100,101,F,Victoria,Baker,Bakery,Victoria,Stores,39.0,5.29,51.76
101,102,F,New Westminster,Baker,Bakery,New Westminster,Stores,49.0,2.99,121.01
102,103,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44.0,16.59,48.37
103,104,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,56.0,2.02,137.46
104,105,F,Victoria,Baker,Bakery,Victoria,Stores,44.0,4.03,98.56
105,106,M,Creston,Baker,Bakery,Cranbrook,Stores,30.0,2.92,0.0
106,107,F,Wynndel,Baker,Bakery,Cranbrook,Stores,46.0,4.83,44.0
107,108,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,28.0,4.52,0.0
108,109,F,Burnaby,Baker,Bakery,Burnaby,Stores,37.0,4.93,39.1
109,110,F,Muncho Lake,Baker,Bakery,Fort St John,Stores,50.0,5.51,138.93
110,111,M,New Westminster,Baker,Bakery,New Westminster,Stores,47.0,4.74,63.03
111,112,M,Creston,Baker,Bakery,Cranbrook,Stores,50.0,5.32,98.32
112,113,M,Kitimat,Baker,Bakery,Terrace,Stores,39.0,1.73,56.3
113,114,F,Lac La Hache,Baker,Bakery,Williams Lake,Stores,37.0,5.27,25.47
114,115,F,Armstrong,Baker,Bakery,Vernon,Stores,48.0,3.81,96.88
115,116,F,Victoria,Baker,Bakery,Victoria,Stores,50.0,3.45,118.49
116,117,F,New Westminster,Baker,Bakery,New Westminster,Stores,40.0,6.28,34.02
117,118,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,37.0,6.28,72.79
118,119,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,33.0,3.62,0.0
119,120,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,33.0,7.1,0.0
120,121,F,Duncan,Baker,Bakery,Quesnel,Stores,59.0,6.55,153.26
121,122,M,Duncan,Baker,Bakery,Quesnel,Stores,24.0,5.19,0.0
122,123,M,Quesnel,Baker,Bakery,Quesnel,Stores,43.0,7.92,53.85
123,124,F,Hixon,Baker,Bakery,Prince George,Stores,53.0,4.99,113.96
124,125,M,Fauquier,Baker,Bakery,Trail,Stores,46.0,3.39,79.11
125,126,M,Surrey,Baker,Bakery,Surrey,Stores,36.0,5.76,29.98
126,127,F,Wynndel,Baker,Bakery,Cranbrook,Stores,38.0,1.98,68.4
127,128,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43.0,21.12,30.99
128,129,F,Ocean Falls,Baker,Bakery,Ocean Falls,Stores,24.0,3.77,0.0
129,130,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,46.0,6.68,40.06
130,131,F,Vallican,Baker,Bakery,Trail,Stores,33.0,3.12,49.66
131,132,F,North Pender Island,Baker,Bakery,Victoria,Stores,39.0,3.73,94.28
132,133,M,Victoria,Baker,Bakery,Victoria,Stores,36.0,1.88,58.09
133,134,M,Montney,Baker,Bakery,Fort St John,Stores,50.0,4.21,62.16
134,135,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,55.0,17.15,30.46
135,136,F,Ganges,Baker,Bakery,Victoria,Stores,44.0,3.73,90.81
136,137,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36.0,18.48,37.12
137,138,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,56.0,11.44,0.0
138,139,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,43.0,5.17,63.19
139,140,M,Prince George,Baker,Bakery,Prince George,Stores,57.0,4.93,101.93
140,141,M,Burns Lake,Baker,Bakery,Prince George,Stores,43.0,2.48,45.49
141,142,F,Midway,Baker,Bakery,Trail,Stores,50.0,3.01,124.2
142,143,M,Victoria,Baker,Bakery,Victoria,Stores,49.0,4.69,56.92
143,144,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40.0,16.85,0.0
144,145,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44.0,11.95,111.78
145,146,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35.0,13.71,0.0
146,147,M,Westwold,Baker,Bakery,Vernon,Stores,61.0,3.44,96.26
147,148,M,Victoria,Baker,Bakery,Victoria,Stores,48.0,3.44,58.15
148,149,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35.0,5.69,40.15
149,150,F,Vananda,Baker,Bakery,Nanaimo,Stores,38.0,7.02,92.25
150,151,M,Terrace,Baker,Bakery,Terrace,Stores,58.0,5.59,116.08
151,152,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,37.0,2.76,24.5
152,153,M,New Westminster,Baker,Bakery,New Westminster,Stores,38.0,2.52,17.07
153,154,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40.0,6.41,90.17
154,155,M,Victoria,Baker,Bakery,Victoria,Stores,49.0,6.15,46.53
155,156,F,Golden,Baker,Bakery,Cranbrook,Stores,56.0,4.51,156.69
156,157,F,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,27.0,5.88,14.39
157,158,F,Vernon,Baker,Bakery,Vernon,Stores,52.0,2.86,113.26
158,159,F,Hixon,Baker,Bakery,Prince George,Stores,61.0,2.77,159.97
159,160,M,Sechelt,Baker,Bakery,West Vancouver,Stores,66.0,4.24,223.78
160,161,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44.0,23.75,0.0
161,162,M,New Westminster,Baker,Bakery,New Westminster,Stores,40.0,3.84,79.12
162,163,M,White Rock,Baker,Bakery,White Rock,Stores,57.0,6.03,154.26
163,164,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,31.0,4.08,0.0
164,165,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36.0,17.81,0.0
165,166,F,Richmond,Baker,Bakery,Richmond,Stores,52.0,6.52,88.46
166,167,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,31.0,4.99,0.0
167,168,M,Whistler,Baker,Bakery,Squamish,Stores,55.0,5.58,95.5
168,169,M,Surrey,Baker,Bakery,Surrey,Stores,50.0,3.42,120.08
169,170,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,43.0,13.56,0.0
170,171,F,Logan Lake,Baker,Bakery,Kamloops,Stores,30.0,5.29,0.0
171,172,F,Summerland,Baker,Bakery,Kelowna,Stores,43.0,0.7,82.9
172,173,F,Victoria,Baker,Bakery,Victoria,Stores,49.0,5.04,121.37
173,174,M,Prince George,Baker,Bakery,Prince George,Stores,38.0,4.0,34.2
174,175,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,46.0,14.41,69.48
175,176,M,Kelowna,Baker,Bakery,Kelowna,Stores,44.0,4.48,56.2
176,177,F,New Westminster,Baker,Bakery,New Westminster,Stores,44.0,4.98,61.49
177,178,F,Victoria,Baker,Bakery,Victoria,Stores,43.0,5.98,60.09
178,179,F,Victoria,Baker,Bakery,Victoria,Stores,44.0,0.84,66.32
179,180,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,46.0,3.84,71.56
180,181,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,38.0,6.98,33.94
181,182,F,Victoria,Baker,Bakery,Victoria,Stores,33.0,3.96,46.92
182,183,M,Langley,Baker,Bakery,Langley,Stores,40.0,3.2,40.23
183,184,M,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,38.0,4.95,29.16
184,185,F,Victoria,Baker,Bakery,Victoria,Stores,42.0,2.05,44.16
185,186,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,45.0,12.69,47.51
186,187,M,Kamloops,Baker,Bakery,Kamloops,Stores,34.0,4.04,0.0
187,188,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,49.0,1.0,121.79
188,189,M,Victoria,Baker,Bakery,Victoria,Stores,35.0,5.03,31.14
189,190,F,New Westminster,Baker,Bakery,New Westminster,Stores,54.0,5.14,79.22
190,191,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,44.0,25.93,38.56
191,192,F,Chilliwack,Baker,Bakery,Chilliwack,Stores,19.0,4.47,0.0
192,193,F,Huntingdon,Baker,Bakery,Abbotsford,Stores,47.0,5.31,44.74
193,194,M,Nelson,Baker,Bakery,Nelson,Stores,45.0,4.42,93.42
194,195,M,Burnaby,Baker,Bakery,Burnaby,Stores,49.0,5.7,96.66
195,196,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,51.0,1.27,71.73
196,197,M,Yale,Baker,Bakery,Chilliwack,Stores,59.0,3.24,109.25
197,198,M,Aiyansh,Baker,Bakery,Terrace,Stores,36.0,4.45,12.58
198,199,M,Richmond,Baker,Bakery,Richmond,Stores,51.0,3.68,34.07
199,200,F,Penticton,Baker,Bakery,Kelowna,Stores,57.0,5.89,154.81
200,201,M,Richmond,Baker,Bakery,Richmond,Stores,53.0,5.3,90.29
201,202,M,Victoria,Baker,Bakery,Victoria,Stores,52.0,3.96,113.07
202,203,F,Haney,Baker,Bakery,Haney,Stores,52.0,3.91,106.57
203,204,F,New Westminster,Baker,Bakery,New Westminster,Stores,35.0,5.87,12.1
204,205,M,Kamloops,Baker,Bakery,Kamloops,Stores,53.0,4.22,84.32
205,206,M,Surrey,Baker,Bakery,Surrey,Stores,44.0,5.17,66.35
206,207,M,Richmond,Baker,Bakery,Richmond,Stores,41.0,5.49,0.0
207,208,F,Nelson,Baker,Bakery,Nelson,Stores,19.0,3.82,0.0
208,209,F,Bowen Island,Auditor,Audit,Vancouver,FinanceAndAccounting,58.0,19.25,72.92
209,210,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,53.0,35.31,0.0
210,211,M,Fort Langley,Baker,Bakery,Langley,Stores,33.0,4.66,0.0
211,212,M,Clinton,Baker,Bakery,Kamloops,Stores,36.0,4.95,33.53
212,213,M,Prince George,Baker,Bakery,Prince George,Stores,45.0,5.17,61.73
213,214,F,Cassiar,Baker,Bakery,Terrace,Stores,13.0,3.03,0.0
214,215,M,Victoria,Baker,Bakery,Victoria,Stores,54.0,4.24,111.05
215,216,M,Surrey,Baker,Bakery,Surrey,Stores,60.0,2.25,174.68
216,217,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,37.0,19.1,46.77
217,218,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,45.0,11.37,41.62
218,219,M,Victoria,Baker,Bakery,Victoria,Stores,44.0,5.5,95.42
219,220,M,Victoria,Baker,Bakery,Victoria,Stores,45.0,4.59,22.49
220,221,F,Kelowna,Baker,Bakery,Kelowna,Stores,37.0,6.27,59.39
221,222,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,50.0,12.69,57.23
222,223,M,Surrey,Baker,Bakery,Surrey,Stores,43.0,2.48,45.14
223,224,M,Victoria,Baker,Bakery,Victoria,Stores,35.0,6.46,50.52
224,225,M,Pender Harbour,Baker,Bakery,Victoria,Stores,45.0,4.55,62.15
225,226,F,New Westminster,Baker,Bakery,New Westminster,Stores,40.0,6.61,16.06
226,227,F,Kamloops,Baker,Bakery,Kamloops,Stores,48.0,2.36,85.38
227,228,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,44.0,26.19,0.0
228,229,M,Victoria,Baker,Bakery,Victoria,Stores,42.0,4.0,39.68
229,230,F,Parksville,Baker,Bakery,Nanaimo,Stores,44.0,5.52,57.19
230,231,F,Kamloops,Baker,Bakery,Kamloops,Stores,37.0,6.88,38.1
231,232,F,Quesnel,Baker,Bakery,Quesnel,Stores,42.0,3.73,118.59
232,233,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,39.0,14.61,28.9
233,234,M,New Westminster,Baker,Bakery,New Westminster,Stores,43.0,5.96,73.4
234,235,M,New Westminster,Baker,Bakery,New Westminster,Stores,48.0,4.93,86.86
235,236,F,Richmond,Baker,Bakery,Richmond,Stores,45.0,6.27,106.77
236,237,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,35.0,6.34,0.0
237,238,F,Mcleese Lake,Baker,Bakery,Williams Lake,Stores,52.0,5.21,107.83
238,239,M,Surrey,Baker,Bakery,Surrey,Stores,43.0,2.83,10.68
239,240,F,Fort St John,Baker,Bakery,Fort St John,Stores,38.0,2.22,32.0
240,241,F,Campbell River,Baker,Bakery,Nanaimo,Stores,51.0,7.1,131.02
241,242,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,54.0,5.64,123.56
242,243,F,Wells,Baker,Bakery,Kamloops,Stores,29.0,2.24,21.04
243,244,F,New Westminister,Baker,Bakery,New Westminister,Stores,56.0,5.23,173.84
244,245,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,43.0,8.11,20.94
245,246,F,Manning Park,Baker,Bakery,Chilliwack,Stores,38.0,2.91,47.54
246,247,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,38.0,5.39,30.82
247,248,F,Decker Lake,Baker,Bakery,Prince George,Stores,36.0,7.14,27.6
248,249,F,Salmon Arm,Baker,Bakery,Kamloops,Stores,55.0,5.92,152.12
249,250,F,Victoria,Baker,Bakery,Victoria,Stores,45.0,4.78,39.58
250,251,M,Burnaby,Baker,Bakery,Burnaby,Stores,56.0,6.9,174.86
251,252,F,Prince George,Baker,Bakery,Prince George,Stores,34.0,1.62,4.01
252,253,M,Sooke,Baker,Bakery,Victoria,Stores,36.0,3.58,65.58
253,254,M,Vernon,Baker,Bakery,Vernon,Stores,31.0,3.68,0.0
254,255,F,Prince George,Baker,Bakery,Prince George,Stores,36.0,4.16,44.5
255,256,F,Horsefly,Baker,Bakery,Prince George,Stores,31.0,5.35,0.0
256,257,M,Invermere,Baker,Bakery,Cranbrook,Stores,45.0,4.19,91.35
257,258,F,Creston,Baker,Bakery,Cranbrook,Stores,38.0,6.73,59.96
258,259,F,New Westminster,Baker,Bakery,New Westminster,Stores,38.0,5.01,28.54
259,260,F,Topley,Baker,Bakery,Prince George,Stores,55.0,3.41,112.61
260,261,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,53.0,5.33,84.61
261,262,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,33.0,5.88,20.53
262,263,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,29.0,4.4,0.0
263,264,M,Armstrong,Baker,Bakery,Vernon,Stores,36.0,3.14,26.7
264,265,M,Field,Baker,Bakery,Cranbrook,Stores,46.0,3.96,28.78
265,266,F,New Westminster,Baker,Bakery,New Westminster,Stores,32.0,5.77,40.5
266,267,M,Youbou,Baker,Bakery,Victoria,Stores,40.0,3.64,49.91
267,268,M,Fort St John,Baker,Bakery,Fort St John,Stores,45.0,5.47,71.62
268,269,F,Kelowna,Baker,Bakery,Kelowna,Stores,40.0,7.97,22.73
269,270,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,48.0,5.41,20.11
270,271,M,Bowen Island,Bakery Manager,Bakery,Vancouver,Stores,22.0,2.82,0.0
271,272,F,Surrey,Baker,Bakery,Surrey,Stores,49.0,5.34,75.6
272,273,M,Sorrento,Baker,Bakery,Kamloops,Stores,38.0,3.98,3.03
273,274,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,38.0,3.29,18.77
274,275,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,57.0,5.42,122.66
275,276,F,Surrey,Baker,Bakery,Surrey,Stores,34.0,5.72,28.4
276,277,F,Victoria,Baker,Bakery,Victoria,Stores,29.0,3.33,36.26
277,278,F,Victoria,Baker,Bakery,Victoria,Stores,54.0,4.73,73.94
278,279,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,56.0,5.61,85.86
279,280,F,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,49.0,4.27,74.28
280,281,M,Victoria,Baker,Bakery,Victoria,Stores,46.0,5.45,104.03
281,282,M,Victoria,Baker,Bakery,Victoria,Stores,36.0,2.75,0.0
282,283,M,Prince George,Baker,Bakery,Prince George,Stores,40.0,5.31,36.86
283,284,F,Merritt,Baker,Bakery,Kamloops,Stores,43.0,4.87,38.29
284,285,M,Crawford Bay,Baker,Bakery,Cranbrook,Stores,38.0,4.97,28.63
285,286,F,Richmond,Baker,Bakery,Richmond,Stores,45.0,6.96,75.08
286,287,F,Rossland,Baker,Bakery,Trail,Stores,59.0,5.31,146.0
287,288,F,New Westminster,Baker,Bakery,New Westminster,Stores,30.0,7.85,46.68
288,289,M,Victoria,Baker,Bakery,Victoria,Stores,64.0,4.61,198.61
289,290,M,Sidney,Baker,Bakery,Victoria,Stores,37.0,3.62,0.0
290,291,M,New Westminster,Baker,Bakery,New Westminster,Stores,48.0,5.88,76.72
291,292,F,Kamloops,Baker,Bakery,Kamloops,Stores,12.0,4.87,0.0
292,293,M,Castlegar,Baker,Bakery,Trail,Stores,31.0,6.69,0.0
293,294,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,48.0,7.09,101.19
294,295,M,Williams Lake,Baker,Bakery,Williams Lake,Stores,46.0,4.18,102.81
295,296,F,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,36.0,3.4,95.89
296,297,F,New Westminster,Baker,Bakery,New Westminster,Stores,53.0,2.69,139.69
297,298,F,Kelowna,Baker,Bakery,Kelowna,Stores,48.0,4.32,68.54
298,299,F,Pender Harbour,Baker,Bakery,Victoria,Stores,28.0,3.79,0.0
299,300,M,Victoria,Baker,Bakery,Victoria,Stores,47.0,4.96,44.49
300,301,M,Quesnel,Baker,Bakery,Quesnel,Stores,41.0,4.31,0.0
301,302,F,Spences Bridge,Baker,Bakery,Kamloops,Stores,43.0,3.41,68.67
302,303,M,Vancouver,Benefits Admin,Employee Records,Vancouver,HumanResources,50.0,26.08,57.21
303,304,M,New Westminster,Baker,Bakery,New Westminster,Stores,39.0,4.99,0.0
304,305,M,West Vancouver,Cashier,Customer Service,West Vancouver,Stores,56.0,6.08,83.18
305,306,M,Richmond,Baker,Bakery,Richmond,Stores,31.0,3.84,0.0
306,307,M,New Westminster,Baker,Bakery,New Westminster,Stores,46.0,5.62,35.37
307,308,F,Vancouver,Benefits Admin,Employee Records,Vancouver,HumanResources,53.0,5.08,60.25
