EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Store Lat,Store Long,Division,Age,LengthService,AbsentHours
154,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,40,6.41,90.17
155,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,49,6.15,46.53
158,F,Vernon,Baker,Bakery,Vernon,41.838,-72.457,Stores,52,2.86,113.26
161,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,44,23.75,0
163,M,White Rock,Baker,Bakery,White Rock,45.925,-96.576,Stores,57,6.03,154.26
165,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,36,17.81,0
166,F,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,52,6.52,88.46
169,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,50,3.42,120.08
170,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,43,13.56,0
173,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,49,5.04,121.37
175,F,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,46,14.41,69.48
178,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,43,5.98,60.09
179,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,44,0.84,66.32
182,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,33,3.96,46.92
183,M,Langley,Baker,Bakery,Langley,48.034,-122.408,Stores,40,3.2,40.23
185,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,42,2.05,44.16
186,M,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,45,12.69,47.51
188,F,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,49,1,121.79
189,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,35,5.03,31.14
191,F,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,44,25.93,38.56
193,F,Huntingdon,Baker,Bakery,Abbotsford,44.944,-90.315,Stores,47,5.31,44.74
194,M,Nelson,Baker,Bakery,Nelson,34.38,-84.372,Stores,45,4.42,93.42
199,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,51,3.68,34.07
201,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,53,5.3,90.29
202,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,52,3.96,113.07
206,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,44,5.17,66.35
207,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,41,5.49,0
208,F,Nelson,Baker,Bakery,Nelson,34.38,-84.372,Stores,19,3.82,0
209,F,Bowen Island,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,58,19.25,72.92
210,F,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,53,35.31,0
211,M,Fort Langley,Baker,Bakery,Langley,48.034,-122.408,Stores,33,4.66,0
215,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,54,4.24,111.05
216,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,60,2.25,174.68
217,F,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,37,19.1,46.77
218,M,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,45,11.37,41.62
219,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,44,5.5,95.42
220,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,45,4.59,22.49
222,F,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,50,12.69,57.23
223,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,43,2.48,45.14
224,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,35,6.46,50.52
225,M,Pender Harbour,Baker,Bakery,Victoria,28.799,-97.006,Stores,45,4.55,62.15
228,M,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,44,26.19,0
229,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,42,4,39.68
233,M,Vancouver,Auditor,Audit,Vancouver,45.63,-122.677,FinanceAndAccounting,39,14.61,28.9
236,F,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,45,6.27,106.77
239,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,43,2.83,10.68
245,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,43,8.11,20.94
247,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,38,5.39,30.82
250,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,45,4.78,39.58
253,M,Sooke,Baker,Bakery,Victoria,28.799,-97.006,Stores,36,3.58,65.58
254,M,Vernon,Baker,Bakery,Vernon,41.838,-72.457,Stores,31,3.68,0
262,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,33,5.88,20.53
263,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,29,4.4,0
264,M,Armstrong,Baker,Bakery,Vernon,41.838,-72.457,Stores,36,3.14,26.7
267,M,Youbou,Baker,Bakery,Victoria,28.799,-97.006,Stores,40,3.64,49.91
271,M,Bowen Island,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,22,2.82,0
272,F,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,49,5.34,75.6
274,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,38,3.29,18.77
275,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,57,5.42,122.66
276,F,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,34,5.72,28.4
277,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,29,3.33,36.26
278,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,54,4.73,73.94
279,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,56,5.61,85.86
280,F,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,49,4.27,74.28
281,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,46,5.45,104.03
282,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,36,2.75,0
286,F,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,45,6.96,75.08
287,F,Rossland,Baker,Bakery,Trail,47.783,-95.698,Stores,59,5.31,146
289,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,64,4.61,198.61
290,M,Sidney,Baker,Bakery,Victoria,28.799,-97.006,Stores,37,3.62,0
293,M,Castlegar,Baker,Bakery,Trail,47.783,-95.698,Stores,31,6.69,0
294,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,48,7.09,101.19
296,F,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,36,3.4,95.89
299,F,Pender Harbour,Baker,Bakery,Victoria,28.799,-97.006,Stores,28,3.79,0
300,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,47,4.96,44.49
303,M,Vancouver,Benefits Admin,Employee Records,Vancouver,45.63,-122.677,HumanResources,50,26.08,57.21
306,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,31,3.84,0
308,F,Vancouver,Benefits Admin,Employee Records,Vancouver,45.63,-122.677,HumanResources,53,5.08,60.25
309,F,Vancouver,Benefits Admin,Employee Records,Vancouver,45.63,-122.677,HumanResources,56,15.91,0
311,M,Langley,Baker,Bakery,Langley,48.034,-122.408,Stores,47,5.69,86.28
312,M,Willow Point,Baker,Bakery,Trail,47.783,-95.698,Stores,46,4.44,75.86
313,F,Vancouver,Benefits Admin,Employee Records,Vancouver,45.63,-122.677,HumanResources,55,32.35,113.9
314,F,Langley,Baker,Bakery,Langley,48.034,-122.408,Stores,39,1.97,40.51
315,F,Abbotsford,Baker,Bakery,Abbotsford,44.944,-90.315,Stores,64,2.06,206.87
317,F,Vancouver,Benefits Admin,Employee Records,Vancouver,45.63,-122.677,HumanResources,53,9.94,42.15
321,M,Vancouver,Benefits Admin,Employee Records,Vancouver,45.63,-122.677,HumanResources,50,21.96,21.18
322,F,Vancouver,Compensation Analyst,Compensation,Vancouver,45.63,-122.677,HumanResources,39,13.41,0
323,M,Nelson,Baker,Bakery,Nelson,34.38,-84.372,Stores,27,3.3,0
324,M,Vancouver,Compensation Analyst,Compensation,Vancouver,45.63,-122.677,HumanResources,50,31.74,0
325,F,Vancouver,Compensation Analyst,Compensation,Vancouver,45.63,-122.677,HumanResources,55,17.75,72.3
326,F,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,49,3.4,90.59
328,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,38,7.78,43.27
333,M,Cobble Hill,Baker,Bakery,Victoria,28.799,-97.006,Stores,60,6.86,125.88
335,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,54,3.57,129.27
338,M,Hedley,Baker,Bakery,Princeton,40.35,-74.659,Stores,41,4.33,7.23
341,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,48,4.46,50.69
348,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,49,5.43,75.49
349,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,25,3.92,0
351,M,Vancouver,Compensation Analyst,Compensation,Vancouver,45.63,-122.677,HumanResources,40,22.1,120.38
352,M,Vancouver,Compensation Analyst,Compensation,Vancouver,45.63,-122.677,HumanResources,54,36.42,0
353,M,Vancouver,HRIS Analyst,HR Technology,Vancouver,45.63,-122.677,HumanResources,58,6.32,127.14
354,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,46,2.82,55.34
355,F,Vancouver,HRIS Analyst,HR Technology,Vancouver,45.63,-122.677,HumanResources,62,43.74,0
356,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,41,2.97,59.29
358,F,Abbotsford,Cashier,Customer Service,Abbotsford,44.944,-90.315,Stores,54,5.79,120.29
362,F,Vancouver,HRIS Analyst,HR Technology,Vancouver,45.63,-122.677,HumanResources,63,24.19,75.95
363,F,Fort Langley,Baker,Bakery,Langley,48.034,-122.408,Stores,46,3.42,105.23
369,M,Cobble Hill,Baker,Bakery,Victoria,28.799,-97.006,Stores,47,4.3,112.2
372,F,Vancouver,HRIS Analyst,HR Technology,Vancouver,45.63,-122.677,HumanResources,43,23.48,63.22
373,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,49,4.43,73.93
375,M,Fauquier,Cashier,Customer Service,Trail,47.783,-95.698,Stores,44,2.72,96.67
378,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,58,7.81,95.95
379,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,55,5.11,125.86
383,M,Huntingdon,Cashier,Customer Service,Abbotsford,44.944,-90.315,Stores,48,4.62,68.91
384,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,27,6.63,0
385,M,Hedley,Baker,Bakery,Princeton,40.35,-74.659,Stores,23,6.48,11.07
391,M,Vancouver,HRIS Analyst,HR Technology,Vancouver,45.63,-122.677,HumanResources,54,12.26,0
392,F,Vancouver,Investment Analyst,Investment,Vancouver,45.63,-122.677,FinanceAndAccounting,64,3.57,110.14
398,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,54,4.26,159.19
401,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,28,4.54,0
402,M,Vancouver,Investment Analyst,Investment,Vancouver,45.63,-122.677,FinanceAndAccounting,41,20.69,0
405,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,37,5.39,19.83
406,M,Vancouver,Investment Analyst,Investment,Vancouver,45.63,-122.677,FinanceAndAccounting,57,10.7,0
407,F,Vancouver,Investment Analyst,Investment,Vancouver,45.63,-122.677,FinanceAndAccounting,24,6.04,0
411,M,Vancouver,Investment Analyst,Investment,Vancouver,45.63,-122.677,FinanceAndAccounting,46,18.71,0
415,M,Abbotsford,Cashier,Customer Service,Abbotsford,44.944,-90.315,Stores,25,5.84,0
416,M,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,45.63,-122.677,HumanResources,50,26.78,31.58
418,F,Princeton,Cashier,Customer Service,Princeton,40.35,-74.659,Stores,49,3.9,105.27
422,M,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,45.63,-122.677,HumanResources,53,16.88,0
426,F,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,54,5.41,111.67
427,M,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,45.63,-122.677,HumanResources,56,33.69,0
428,F,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,45.63,-122.677,HumanResources,55,7.18,126.59
430,F,Vernon,Baker,Bakery,Vernon,41.838,-72.457,Stores,41,4.92,89.1
432,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,56,4.28,162.07
433,M,Slocan,Cashier,Customer Service,Trail,47.783,-95.698,Stores,47,2.34,58.36
434,F,Abbotsford,Cashier,Customer Service,Abbotsford,44.944,-90.315,Stores,35,4.12,13.92
435,F,Lumby,Baker,Bakery,Vernon,41.838,-72.457,Stores,58,3.67,202.22
436,F,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,45.63,-122.677,HumanResources,53,19.46,60.32
437,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,57,3.76,154.29
438,M,Vancouver,Recruiter,Recruitment,Vancouver,45.63,-122.677,HumanResources,56,21.56,73.09
440,F,Vancouver,Recruiter,Recruitment,Vancouver,45.63,-122.677,HumanResources,67,1,0
445,F,Sooke,Baker,Bakery,Victoria,28.799,-97.006,Stores,55,4.99,104.08
450,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,45,4.45,104.3
452,F,Vancouver,Recruiter,Recruitment,Vancouver,45.63,-122.677,HumanResources,39,21.15,88.63
453,M,Vancouver,Recruiter,Recruitment,Vancouver,45.63,-122.677,HumanResources,53,7.86,77.58
456,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,62,3.13,84.83
462,F,Vancouver,Recruiter,Recruitment,Vancouver,45.63,-122.677,HumanResources,56,4.51,93.23
464,M,Vancouver,Systems Analyst,Information Technology,Vancouver,45.63,-122.677,InfoTech,33,14.58,33.81
466,F,Vancouver,Systems Analyst,Information Technology,Vancouver,45.63,-122.677,InfoTech,39,11.78,68.6
468,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,30,5.69,0
469,M,Vancouver,Systems Analyst,Information Technology,Vancouver,45.63,-122.677,InfoTech,42,9.35,67.18
470,M,Westwold,Cashier,Customer Service,Vernon,41.838,-72.457,Stores,63,2.12,156.14
471,F,Nelson,Cashier,Customer Service,Nelson,34.38,-84.372,Stores,64,4.36,142.84
472,M,Vancouver,Systems Analyst,Information Technology,Vancouver,45.63,-122.677,InfoTech,38,1,0
473,F,Abbotsford,Cashier,Customer Service,Abbotsford,44.944,-90.315,Stores,37,4.94,0
474,M,Vancouver,Systems Analyst,Information Technology,Vancouver,45.63,-122.677,InfoTech,53,6.11,80.01
476,M,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,50,7.18,90.37
480,F,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,53,13.52,30.62
481,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,25,2.2,10.73
483,M,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,56,19.46,0
484,F,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,31,4.67,23.91
486,M,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,55,36.75,50.27
487,M,Langley,Baker,Bakery,Langley,48.034,-122.408,Stores,38,3.58,11.81
488,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,28,2.12,0.99
490,M,Langley,Baker,Bakery,Langley,48.034,-122.408,Stores,35,6.18,0.03
493,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,50,4.98,100.5
494,M,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,53,4.76,106.11
495,M,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,50,31.9,0
499,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,35,5.16,48.84
501,F,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,51,12.86,84.3
502,F,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,41,10.82,57.05
505,F,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,48,27.18,0
514,M,Abbotsford,Cashier,Customer Service,Abbotsford,44.944,-90.315,Stores,14,1.97,0
519,F,Vancouver,Trainer,Training,Vancouver,45.63,-122.677,HumanResources,42,22.56,45.89
520,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,56,3.43,133.69
521,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,46,4.87,96.22
522,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,42,8.67,52.62
523,M,Ganges,Cashier,Customer Service,Victoria,28.799,-97.006,Stores,40,4.01,44.01
525,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,26,6.12,0
527,M,Vernon,Cashier,Customer Service,Vernon,41.838,-72.457,Stores,15,0.99,0
529,F,Victoria,Cashier,Customer Service,Victoria,28.799,-97.006,Stores,62,3.23,149.06
530,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,34,4.52,86.24
531,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,36,3.95,45.68
536,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,31,4.8,5.29
537,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,42,3.04,88.22
539,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,26,4.58,0
542,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,50,4.8,127.21
544,F,White Rock,Baker,Bakery,White Rock,45.925,-96.576,Stores,33,2.69,25.99
545,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,22,4.07,0
546,F,Castlegar,Cashier,Customer Service,Trail,47.783,-95.698,Stores,37,2.53,45.85
547,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,40,4.97,20.07
548,M,Vernon,Cashier,Customer Service,Vernon,41.838,-72.457,Stores,38,1.94,50.61
550,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,42,5.9,56.79
551,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,45,4.33,111.75
553,M,Victoria,Cashier,Customer Service,Victoria,28.799,-97.006,Stores,43,4.03,41.4
554,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,47,4.08,50.99
555,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,46,4.57,70.07
558,M,Nelson,Cashier,Customer Service,Nelson,34.38,-84.372,Stores,39,6.22,42.17
559,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,38,3.94,0
560,M,Victoria,Cashier,Customer Service,Victoria,28.799,-97.006,Stores,54,5.9,92.47
561,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,51,4.6,107.68
562,F,Abbotsford,Cashier,Customer Service,Abbotsford,44.944,-90.315,Stores,49,2.05,69.4
563,M,Nelson,Cashier,Customer Service,Nelson,34.38,-84.372,Stores,45,5.37,23.99
567,F,Victoria,Cashier,Customer Service,Victoria,28.799,-97.006,Stores,53,5.12,151.33
570,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,38,5.56,55.26
572,F,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,35,5.49,39.14
574,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,56,1.48,148.79
575,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,37,5.22,0
577,M,Sidney,Cashier,Customer Service,Victoria,28.799,-97.006,Stores,31,4.84,56.42
578,M,Vancouver,Baker,Bakery,Vancouver,45.63,-122.677,Stores,56,7.04,82.69
