EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Age,LengthService,AbsentHours,State,Counties,Latitude,Longitude
37,F,Courtenay,Baker,Bakery,Nanaimo,51.56495808,4.641869886,75.25704812,ND,Stutsman,47.224,-98.569
41,F,Abbotsford,Baker,Bakery,Abbotsford,44.60660014,4.862142071,78.34173929,WI,Clark;Marathon,44.944,-90.315
44,M,Surrey,Baker,Bakery,Surrey,62.05182058,5.473604647,152.6467667,ND,Ward,48.236,-101.133
45,F,Victoria,Baker,Bakery,Victoria,28.07544199,5.776657666,0,TX,Victoria,28.799,-97.006
46,F,Surrey,Baker,Bakery,Surrey,49.90577748,5.357402979,80.24254043,ND,Ward,48.236,-101.133
47,M,Vancouver,Accounting Clerk,Accounting,Vancouver,50.07982,1,78.7532824,WA,Clark,45.63,-122.677
50,M,Vancouver,Accounting Clerk,Accounting,Vancouver,38.678832,20.678832,21.38553248,WA,Clark,45.63,-122.677
55,M,Abbotsford,Baker,Bakery,Abbotsford,29.32983419,3.28103742,0,WI,Clark;Marathon,44.944,-90.315
56,F,Sidney,Baker,Bakery,Victoria,50.01054543,3.653801673,77.13030678,OH,Shelby,40.286,-84.155
62,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,55.76305,10.623616,0,WA,Clark,45.63,-122.677
67,F,Surrey,Baker,Bakery,Surrey,22.5364126,5.897640636,0,ND,Ward,48.236,-101.133
68,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,39.73937,11.885504,0,WA,Clark,45.63,-122.677
70,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,44.10973,12.305714,78.84098352,WA,Clark,45.63,-122.677
73,M,Vernon,Baker,Bakery,Vernon,42.4342557,3.387128544,28.60483097,CT,Tolland,41.838,-72.457
76,F,Victoria,Baker,Bakery,Victoria,45.3008103,5.567973876,19.6191458,TX,Victoria,28.799,-97.006
78,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,35.4939,8.348239,44.97411152,WA,Clark,45.63,-122.677
85,M,Victoria,Baker,Bakery,Victoria,33.3683369,2.301876593,31.69229831,TX,Victoria,28.799,-97.006
87,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,34.6622,13.828331,54.30033232,WA,Clark,45.63,-122.677
88,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,37.24006,18.641316,0,WA,Clark,45.63,-122.677
89,F,Duncan,Baker,Bakery,Quesnel,45.47882196,6.837239767,103.3493697,OK,Stephens,34.502,-97.958
92,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,40.49192,1.223785,58.28770605,WA,Clark,45.63,-122.677
93,M,Victoria,Baker,Bakery,Victoria,48.62992513,5.534431308,110.8124796,TX,Victoria,28.799,-97.006
95,F,Victoria,Baker,Bakery,Victoria,37.91257982,4.677505826,73.47603875,TX,Victoria,28.799,-97.006
96,M,Nelson,Baker,Bakery,Nelson,29.40947244,4.853084899,2.187241945,GA,Cherokee;Pickens,34.38,-84.372
101,F,Victoria,Baker,Bakery,Victoria,39.23785234,5.28876626,51.75805976,TX,Victoria,28.799,-97.006
103,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,43.74006,16.587192,48.37309828,WA,Clark,45.63,-122.677
105,F,Victoria,Baker,Bakery,Victoria,44.00105092,4.03442867,98.5576777,TX,Victoria,28.799,-97.006
106,M,Creston,Baker,Bakery,Cranbrook,29.6692902,2.920694436,0,IA,Union,41.06,-94.365
112,M,Creston,Baker,Bakery,Cranbrook,50.28113997,5.319611026,98.3228922,IA,Union,41.06,-94.365
115,F,Armstrong,Baker,Bakery,Vernon,47.5184211,3.813679718,96.88371667,IA,Emmet,43.394,-94.483
116,F,Victoria,Baker,Bakery,Victoria,50.24461391,3.450234407,118.490501,TX,Victoria,28.799,-97.006
119,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,33.17869,3.616228,0,WA,Clark,45.63,-122.677
120,M,Abbotsford,Baker,Bakery,Abbotsford,32.75941298,7.100916929,0,WI,Clark;Marathon,44.944,-90.315
121,F,Duncan,Baker,Bakery,Quesnel,58.57572963,6.547789836,153.2632323,OK,Stephens,34.502,-97.958
122,M,Duncan,Baker,Bakery,Quesnel,23.94839693,5.192754104,0,OK,Stephens,34.502,-97.958
126,M,Surrey,Baker,Bakery,Surrey,35.53798668,5.764585657,29.98231177,ND,Ward,48.236,-101.133
128,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,43.2858,21.122314,30.99399888,WA,Clark,45.63,-122.677
135,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,54.67226,17.149135,30.45802032,WA,Clark,45.63,-122.677
137,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,36.480086,18.480086,37.1157124,WA,Clark,45.63,-122.677
138,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,55.76305,11.44132,0,WA,Clark,45.63,-122.677
142,F,Midway,Baker,Bakery,Trail,50.35361623,3.006138301,124.2025327,UT,Wasatch,40.518,-111.475
143,M,Victoria,Baker,Bakery,Victoria,49.47613903,4.687620059,56.92397595,TX,Victoria,28.799,-97.006
144,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,39.73937,16.8497,0,WA,Clark,45.63,-122.677
145,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,44.10973,11.954267,111.7755846,WA,Clark,45.63,-122.677
146,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,35.4939,13.707758,0,WA,Clark,45.63,-122.677
148,M,Victoria,Baker,Bakery,Victoria,47.87764919,3.44226196,58.15296878,TX,Victoria,28.799,-97.006
149,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,34.6622,5.689747,40.14572515,WA,Clark,45.63,-122.677
152,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,37.24006,2.759389,24.50390384,WA,Clark,45.63,-122.677
154,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,40.49192,6.408469,90.16966119,WA,Clark,45.63,-122.677
155,M,Victoria,Baker,Bakery,Victoria,49.07042916,6.154288207,46.52578004,TX,Victoria,28.799,-97.006
156,F,Golden,Baker,Bakery,Cranbrook,55.93339775,4.507594802,156.6886593,CO,Jefferson,39.755,-105.221
158,F,Vernon,Baker,Bakery,Vernon,51.85696413,2.856147379,113.2580344,CT,Tolland,41.838,-72.457
161,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,43.74006,23.746003,0,WA,Clark,45.63,-122.677
163,M,White Rock,Baker,Bakery,White Rock,57.35063799,6.032330926,154.2577252,SD,Roberts,45.925,-96.576
165,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,35.80744,17.80744,0,WA,Clark,45.63,-122.677
166,F,Richmond,Baker,Bakery,Richmond,52.1325405,6.524270599,88.45913805,VA,Richmond (city),37.546,-77.453
169,M,Surrey,Baker,Bakery,Surrey,49.85965201,3.415872649,120.0797189,ND,Ward,48.236,-101.133
170,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,43.2858,13.56324,0,WA,Clark,45.63,-122.677
173,F,Victoria,Baker,Bakery,Victoria,49.27493559,5.039542872,121.3682638,TX,Victoria,28.799,-97.006
175,F,Vancouver,Auditor,Audit,Vancouver,45.5594,14.410268,69.47820963,WA,Clark,45.63,-122.677
178,F,Victoria,Baker,Bakery,Victoria,42.63644281,5.982794346,60.09046813,TX,Victoria,28.799,-97.006
182,F,Victoria,Baker,Bakery,Victoria,33.403431,3.959062909,46.92397933,TX,Victoria,28.799,-97.006
183,M,Langley,Baker,Bakery,Langley,40.34235317,3.204713851,40.23300149,WA,Island,48.034,-122.408
185,F,Victoria,Baker,Bakery,Victoria,42.31715261,2.048207893,44.15691237,TX,Victoria,28.799,-97.006
186,M,Vancouver,Auditor,Audit,Vancouver,45.01263,12.688114,47.51121024,WA,Clark,45.63,-122.677
188,F,Vancouver,Auditor,Audit,Vancouver,49.14973,1,121.7851932,WA,Clark,45.63,-122.677
189,M,Victoria,Baker,Bakery,Victoria,35.36492589,5.028810793,31.13908709,TX,Victoria,28.799,-97.006
191,F,Vancouver,Auditor,Audit,Vancouver,43.934345,25.934345,38.55781831,WA,Clark,45.63,-122.677
193,F,Huntingdon,Baker,Bakery,Abbotsford,46.68367521,5.312088904,44.74428082,PA,Huntingdon,40.504,-77.999
194,M,Nelson,Baker,Bakery,Nelson,44.60240143,4.41770495,93.42104381,GA,Cherokee;Pickens,34.38,-84.372
197,M,Yale,Baker,Bakery,Chilliwack,59.01548877,3.241373868,109.2478897,MI,St. Clair,43.128,-82.798
199,M,Richmond,Baker,Bakery,Richmond,51.39517039,3.682661001,34.0739579,VA,Richmond (city),37.546,-77.453
201,M,Richmond,Baker,Bakery,Richmond,52.65101839,5.299719684,90.2876122,VA,Richmond (city),37.546,-77.453
202,M,Victoria,Baker,Bakery,Victoria,52.1874037,3.960580937,113.0661266,TX,Victoria,28.799,-97.006
206,M,Surrey,Baker,Bakery,Surrey,43.73002137,5.168028157,66.34602697,ND,Ward,48.236,-101.133
208,F,Nelson,Baker,Bakery,Nelson,18.95983224,3.820712697,0,GA,Cherokee;Pickens,34.38,-84.372
210,F,Vancouver,Auditor,Audit,Vancouver,53.312967,35.312967,0,WA,Clark,45.63,-122.677
212,M,Clinton,Baker,Bakery,Kamloops,36.38184177,4.953196152,33.52879809,MI,Macomb,42.591,-82.936
215,M,Victoria,Baker,Bakery,Victoria,54.43216037,4.243228337,111.0545762,TX,Victoria,28.799,-97.006
217,F,Vancouver,Auditor,Audit,Vancouver,37.098383,19.098383,46.77119065,WA,Clark,45.63,-122.677
218,M,Vancouver,Auditor,Audit,Vancouver,44.93259,11.374388,41.62491736,WA,Clark,45.63,-122.677
219,M,Victoria,Baker,Bakery,Victoria,43.91164167,5.502563615,95.4168043,TX,Victoria,28.799,-97.006
220,M,Victoria,Baker,Bakery,Victoria,45.45783561,4.594193677,22.49132554,TX,Victoria,28.799,-97.006
222,F,Vancouver,Auditor,Audit,Vancouver,49.67844,12.688541,57.22786992,WA,Clark,45.63,-122.677
223,M,Surrey,Baker,Bakery,Surrey,42.78966516,2.483440021,45.13933554,ND,Ward,48.236,-101.133
224,M,Victoria,Baker,Bakery,Victoria,34.80801888,6.462199055,50.51860074,TX,Victoria,28.799,-97.006
228,M,Vancouver,Auditor,Audit,Vancouver,44.185803,26.185803,0,WA,Clark,45.63,-122.677
229,M,Victoria,Baker,Bakery,Victoria,41.60450461,4.004897104,39.67547177,TX,Victoria,28.799,-97.006
230,F,Parksville,Baker,Bakery,Nanaimo,44.22969208,5.520121991,57.18578016,SC,McCormick,33.786,-82.217
233,M,Vancouver,Auditor,Audit,Vancouver,39.31457,14.613758,28.89700216,WA,Clark,45.63,-122.677
236,F,Richmond,Baker,Bakery,Richmond,45.28880825,6.267979432,106.7733033,VA,Richmond (city),37.546,-77.453
239,M,Surrey,Baker,Bakery,Surrey,43.46696293,2.826842165,10.68473537,ND,Ward,48.236,-101.133
243,F,Wells,Baker,Bakery,Kamloops,28.9172471,2.244451155,21.03904881,ME,York,43.326,-70.635
245,M,Vancouver,Bakery Manager,Bakery,Vancouver,43.19064154,8.109839161,20.93704925,WA,Clark,45.63,-122.677
250,F,Victoria,Baker,Bakery,Victoria,44.77484922,4.778751376,39.57679255,TX,Victoria,28.799,-97.006
254,M,Vernon,Baker,Bakery,Vernon,31.47856723,3.675621244,0,CT,Tolland,41.838,-72.457
258,F,Creston,Baker,Bakery,Cranbrook,38.19626612,6.728007933,59.95757031,IA,Union,41.06,-94.365
262,M,Vancouver,Bakery Manager,Bakery,Vancouver,32.62756763,5.880796835,20.52608989,WA,Clark,45.63,-122.677
263,M,Vancouver,Bakery Manager,Bakery,Vancouver,29.37409177,4.395205208,0,WA,Clark,45.63,-122.677
264,M,Armstrong,Baker,Bakery,Vernon,36.14779144,3.136688027,26.70137233,IA,Emmet,43.394,-94.483
272,F,Surrey,Baker,Bakery,Surrey,49.23854802,5.342303525,75.60492624,ND,Ward,48.236,-101.133
273,M,Sorrento,Baker,Bakery,Kamloops,38.48180344,3.983263282,3.026643536,LA,Ascension,30.186,-90.869
274,M,Vancouver,Bakery Manager,Bakery,Vancouver,37.7312481,3.291196527,18.76798501,WA,Clark,45.63,-122.677
275,M,Vancouver,Bakery Manager,Bakery,Vancouver,57.08813022,5.422745919,122.660478,WA,Clark,45.63,-122.677
276,F,Surrey,Baker,Bakery,Surrey,34.28082043,5.721009922,28.39811691,ND,Ward,48.236,-101.133
277,F,Victoria,Baker,Bakery,Victoria,29.30370209,3.32828679,36.26095364,TX,Victoria,28.799,-97.006
278,F,Victoria,Baker,Bakery,Victoria,53.97279984,4.725270372,73.9432002,TX,Victoria,28.799,-97.006
279,M,Vancouver,Bakery Manager,Bakery,Vancouver,55.75102139,5.605690978,85.85659878,WA,Clark,45.63,-122.677
280,F,Vancouver,Bakery Manager,Bakery,Vancouver,49.4851649,4.274813211,74.28087994,WA,Clark,45.63,-122.677
281,M,Victoria,Baker,Bakery,Victoria,45.95132139,5.453772607,104.0283792,TX,Victoria,28.799,-97.006
282,M,Victoria,Baker,Bakery,Victoria,36.41103286,2.754126134,0,TX,Victoria,28.799,-97.006
286,F,Richmond,Baker,Bakery,Richmond,45.08977998,6.959476071,75.08140597,VA,Richmond (city),37.546,-77.453
290,M,Sidney,Baker,Bakery,Victoria,37.25898016,3.624109308,0,OH,Shelby,40.286,-84.155
294,M,Vancouver,Bakery Manager,Bakery,Vancouver,48.20856562,7.087451834,101.1876391,WA,Clark,45.63,-122.677
296,F,Vancouver,Bakery Manager,Bakery,Vancouver,35.54491002,3.398417436,95.89296083,WA,Clark,45.63,-122.677
300,M,Victoria,Baker,Bakery,Victoria,47.06341877,4.959406519,44.49102502,TX,Victoria,28.799,-97.006
306,M,Richmond,Baker,Bakery,Richmond,30.94561689,3.835034666,0,VA,Richmond (city),37.546,-77.453
309,F,Vancouver,Benefits Admin,Employee Records,Vancouver,55.76493,15.906366,0,WA,Clark,45.63,-122.677
311,M,Langley,Baker,Bakery,Langley,47.0598613,5.691602847,86.27605733,WA,Island,48.034,-122.408
313,F,Vancouver,Benefits Admin,Employee Records,Vancouver,55.01031,32.350609,113.9021614,WA,Clark,45.63,-122.677
314,F,Langley,Baker,Bakery,Langley,38.84841513,1.974589769,40.50500469,WA,Island,48.034,-122.408
315,F,Abbotsford,Baker,Bakery,Abbotsford,63.64067214,2.064808515,206.8713669,WI,Clark;Marathon,44.944,-90.315
317,F,Vancouver,Benefits Admin,Employee Records,Vancouver,53.4876,9.940766,42.15238664,WA,Clark,45.63,-122.677
321,M,Vancouver,Benefits Admin,Employee Records,Vancouver,49.65137,21.960999,21.17797032,WA,Clark,45.63,-122.677
322,F,Vancouver,Compensation Analyst,Compensation,Vancouver,39.23264,13.412318,0,WA,Clark,45.63,-122.677
323,M,Nelson,Baker,Bakery,Nelson,27.19733271,3.300616625,0,GA,Cherokee;Pickens,34.38,-84.372
325,F,Vancouver,Compensation Analyst,Compensation,Vancouver,54.78184,17.754217,72.29939142,WA,Clark,45.63,-122.677
326,F,Surrey,Baker,Bakery,Surrey,49.35642336,3.402556616,90.58930376,ND,Ward,48.236,-101.133
328,M,Richmond,Baker,Bakery,Richmond,37.92292401,7.783429235,43.26658309,VA,Richmond (city),37.546,-77.453
335,M,Victoria,Baker,Bakery,Victoria,53.77834729,3.574201195,129.270387,TX,Victoria,28.799,-97.006
338,M,Hedley,Baker,Bakery,Princeton,40.68595999,4.326906054,7.234942941,TX,Donley,34.867,-100.659
339,F,Sardis,Baker,Bakery,Chilliwack,52.38056007,0.937085283,145.8827831,MS,Panola,34.436,-89.911
341,F,Victoria,Baker,Bakery,Victoria,48.14741118,4.459393608,50.69225157,TX,Victoria,28.799,-97.006
348,F,Victoria,Baker,Bakery,Victoria,48.73561807,5.43412175,75.48601993,TX,Victoria,28.799,-97.006
349,F,Victoria,Baker,Bakery,Victoria,24.77526856,3.924288439,0,TX,Victoria,28.799,-97.006
352,M,Vancouver,Compensation Analyst,Compensation,Vancouver,54.422944,36.422944,0,WA,Clark,45.63,-122.677
353,M,Vancouver,HRIS Analyst,HR Technology,Vancouver,57.83862,6.323964,127.1443971,WA,Clark,45.63,-122.677
354,M,Surrey,Baker,Bakery,Surrey,46.26318447,2.822267528,55.34484555,ND,Ward,48.236,-101.133
355,F,Vancouver,HRIS Analyst,HR Technology,Vancouver,61.735239,43.735239,0,WA,Clark,45.63,-122.677
356,M,Richmond,Baker,Bakery,Richmond,41.3446638,2.973238555,59.28582039,VA,Richmond (city),37.546,-77.453
358,F,Abbotsford,Cashier,Customer Service,Abbotsford,54.04718271,5.787626946,120.2943088,WI,Clark;Marathon,44.944,-90.315
362,F,Vancouver,HRIS Analyst,HR Technology,Vancouver,62.96501,24.185418,75.94725642,WA,Clark,45.63,-122.677
367,F,Bear Lake,Baker,Bakery,Prince George,34.64718451,7.458751463,0,MI,Manistee,44.42,-86.146
372,F,Vancouver,HRIS Analyst,HR Technology,Vancouver,43.14466,23.478444,63.21600345,WA,Clark,45.63,-122.677
373,F,Victoria,Baker,Bakery,Victoria,48.73314194,4.425093038,73.92678067,TX,Victoria,28.799,-97.006
378,M,Victoria,Baker,Bakery,Victoria,58.13304183,7.806944723,95.95336768,TX,Victoria,28.799,-97.006
379,M,Victoria,Baker,Bakery,Victoria,54.779859,5.112717498,125.8604413,TX,Victoria,28.799,-97.006
383,M,Huntingdon,Cashier,Customer Service,Abbotsford,47.6683812,4.621010613,68.91000358,PA,Huntingdon,40.504,-77.999
384,F,Victoria,Baker,Bakery,Victoria,26.76805037,6.627176947,0,TX,Victoria,28.799,-97.006
385,M,Hedley,Baker,Bakery,Princeton,23.17755823,6.47552198,11.06662422,TX,Donley,34.867,-100.659
391,M,Vancouver,HRIS Analyst,HR Technology,Vancouver,53.72168,12.259574,0,WA,Clark,45.63,-122.677
398,F,Victoria,Baker,Bakery,Victoria,53.68190138,4.262025469,159.1892618,TX,Victoria,28.799,-97.006
402,M,Vancouver,Investment Analyst,Investment,Vancouver,41.00684,20.690126,0,WA,Clark,45.63,-122.677
405,F,Victoria,Baker,Bakery,Victoria,37.39941933,5.385136819,19.82535074,TX,Victoria,28.799,-97.006
406,M,Vancouver,Investment Analyst,Investment,Vancouver,56.57166,10.702093,0,WA,Clark,45.63,-122.677
407,F,Vancouver,Investment Analyst,Investment,Vancouver,24.03801,6.03801,0,WA,Clark,45.63,-122.677
411,M,Vancouver,Investment Analyst,Investment,Vancouver,45.70187,18.714494,0,WA,Clark,45.63,-122.677
415,M,Abbotsford,Cashier,Customer Service,Abbotsford,24.53199841,5.836590902,0,WI,Clark;Marathon,44.944,-90.315
416,M,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,49.81724,26.783065,31.5834116,WA,Clark,45.63,-122.677
418,F,Princeton,Cashier,Customer Service,Princeton,48.70922246,3.895792669,105.2711057,NJ,Mercer,40.35,-74.659
422,M,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,52.68017,16.879339,0,WA,Clark,45.63,-122.677
427,M,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,55.76493,33.688884,0,WA,Clark,45.63,-122.677
428,F,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,55.01031,7.17544,126.5891578,WA,Clark,45.63,-122.677
430,F,Vernon,Baker,Bakery,Vernon,40.72063863,4.921410713,89.09809241,CT,Tolland,41.838,-72.457
434,F,Abbotsford,Cashier,Customer Service,Abbotsford,35.13456681,4.123586358,13.91972288,WI,Clark;Marathon,44.944,-90.315
437,M,Surrey,Baker,Bakery,Surrey,56.98952573,3.759089845,154.2911492,ND,Ward,48.236,-101.133
438,M,Vancouver,Recruiter,Recruitment,Vancouver,55.82504,21.561588,73.09016728,WA,Clark,45.63,-122.677
440,F,Vancouver,Recruiter,Recruitment,Vancouver,67,1,0,WA,Clark,45.63,-122.677
443,F,Chase,Cashier,Customer Service,Kamloops,32.29718696,1.574168973,50.37777309,KS,Rice,38.355,-98.349
450,F,Victoria,Baker,Bakery,Victoria,45.2344092,4.446572171,104.3010009,TX,Victoria,28.799,-97.006
452,F,Vancouver,Recruiter,Recruitment,Vancouver,39.147491,21.147491,88.62749636,WA,Clark,45.63,-122.677
453,M,Vancouver,Recruiter,Recruitment,Vancouver,52.92548,7.862807,77.57512672,WA,Clark,45.63,-122.677
456,M,Richmond,Baker,Bakery,Richmond,62.39382381,3.130596532,84.82918503,VA,Richmond (city),37.546,-77.453
466,F,Vancouver,Systems Analyst,Information Technology,Vancouver,39.19805,11.77536,68.6007296,WA,Clark,45.63,-122.677
469,M,Vancouver,Systems Analyst,Information Technology,Vancouver,42.02258,9.34757,67.17936576,WA,Clark,45.63,-122.677
472,M,Vancouver,Systems Analyst,Information Technology,Vancouver,37.75449,1,0,WA,Clark,45.63,-122.677
473,F,Abbotsford,Cashier,Customer Service,Abbotsford,36.63402217,4.94363174,0,WI,Clark;Marathon,44.944,-90.315
474,M,Vancouver,Systems Analyst,Information Technology,Vancouver,52.71591,6.112512,80.01481384,WA,Clark,45.63,-122.677
476,M,Vancouver,Trainer,Training,Vancouver,49.81724,7.17544,90.36785992,WA,Clark,45.63,-122.677
480,F,Vancouver,Trainer,Training,Vancouver,52.68017,13.518324,30.62074579,WA,Clark,45.63,-122.677
481,F,Victoria,Baker,Bakery,Victoria,24.64970229,2.202029073,10.73407329,TX,Victoria,28.799,-97.006
482,M,Creston,Cashier,Customer Service,Cranbrook,40.59613134,3.606849734,70.64421821,IA,Union,41.06,-94.365
483,M,Vancouver,Trainer,Training,Vancouver,55.76493,19.460694,0,WA,Clark,45.63,-122.677
486,M,Vancouver,Trainer,Training,Vancouver,55.01031,36.747626,50.27390576,WA,Clark,45.63,-122.677
487,M,Langley,Baker,Bakery,Langley,38.31455482,3.584010511,11.80970768,WA,Island,48.034,-122.408
488,M,Surrey,Baker,Bakery,Surrey,28.25597776,2.123325194,0.991869888,ND,Ward,48.236,-101.133
493,M,Victoria,Baker,Bakery,Victoria,49.56480991,4.980004911,100.5049786,TX,Victoria,28.799,-97.006
494,M,Vancouver,Trainer,Training,Vancouver,53.4876,4.75773,106.1094726,WA,Clark,45.63,-122.677
495,M,Vancouver,Trainer,Training,Vancouver,49.898107,31.898107,0,WA,Clark,45.63,-122.677
499,M,Surrey,Baker,Bakery,Surrey,35.48923302,5.155877892,48.83862073,ND,Ward,48.236,-101.133
500,M,Winfield,Baker,Bakery,Kelowna,41.24735452,6.426720249,52.38401943,KS,Cowley,37.243,-96.98
502,F,Vancouver,Trainer,Training,Vancouver,41.15682,10.819168,57.05243648,WA,Clark,45.63,-122.677
505,F,Vancouver,Trainer,Training,Vancouver,48.15581,27.179623,0,WA,Clark,45.63,-122.677
514,M,Abbotsford,Cashier,Customer Service,Abbotsford,13.74475804,1.973198786,0,WI,Clark;Marathon,44.944,-90.315
519,F,Vancouver,Trainer,Training,Vancouver,41.58173,22.559587,45.88654741,WA,Clark,45.63,-122.677
520,F,Vancouver,Baker,Bakery,Vancouver,56.09869059,3.427596501,133.690146,WA,Clark,45.63,-122.677
521,F,Vancouver,Baker,Bakery,Vancouver,46.28919022,4.866331534,96.21594145,WA,Clark,45.63,-122.677
525,M,Vancouver,Baker,Bakery,Vancouver,25.91390753,6.122011557,0,WA,Clark,45.63,-122.677
527,M,Vernon,Cashier,Customer Service,Vernon,14.94659334,0.993163765,0,CT,Tolland,41.838,-72.457
530,F,Vancouver,Baker,Bakery,Vancouver,33.91263819,4.523706933,86.24173557,WA,Clark,45.63,-122.677
536,M,Vancouver,Baker,Bakery,Vancouver,31.4441356,4.795929648,5.2918351,WA,Clark,45.63,-122.677
537,F,Vancouver,Baker,Bakery,Vancouver,41.75183657,3.040349891,88.21703977,WA,Clark,45.63,-122.677
539,F,Vancouver,Baker,Bakery,Vancouver,25.94223999,4.575203224,0,WA,Clark,45.63,-122.677
542,F,Vancouver,Baker,Bakery,Vancouver,49.9537953,4.795101989,127.2149817,WA,Clark,45.63,-122.677
544,F,White Rock,Baker,Bakery,White Rock,32.96692751,2.688811846,25.98804025,SD,Roberts,45.925,-96.576
545,F,Vancouver,Baker,Bakery,Vancouver,21.64225223,4.065096905,0,WA,Clark,45.63,-122.677
550,M,Vancouver,Baker,Bakery,Vancouver,41.58973704,5.895661442,56.79406073,WA,Clark,45.63,-122.677
551,F,Vancouver,Baker,Bakery,Vancouver,45.38657096,4.32784132,111.7492434,WA,Clark,45.63,-122.677
553,M,Victoria,Cashier,Customer Service,Victoria,43.25049415,4.030591042,41.39738438,TX,Victoria,28.799,-97.006
554,M,Vancouver,Baker,Bakery,Vancouver,46.93512856,4.076901727,50.99082253,WA,Clark,45.63,-122.677
555,M,Richmond,Baker,Bakery,Richmond,46.20881073,4.574756395,70.06987632,VA,Richmond (city),37.546,-77.453
558,M,Nelson,Cashier,Customer Service,Nelson,39.17916703,6.219623594,42.16699012,GA,Cherokee;Pickens,34.38,-84.372
560,M,Victoria,Cashier,Customer Service,Victoria,54.37394171,5.902829005,92.4677711,TX,Victoria,28.799,-97.006
562,F,Abbotsford,Cashier,Customer Service,Abbotsford,49.04826427,2.047740614,69.39755984,WI,Clark;Marathon,44.944,-90.315
563,M,Nelson,Cashier,Customer Service,Nelson,45.2977846,5.372774651,23.99371415,GA,Cherokee;Pickens,34.38,-84.372
