EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours
135,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,55,17.15,30.46
136,F,Ganges,Baker,Bakery,Victoria,Stores,44,3.73,90.81
137,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36,18.48,37.12
138,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,56,11.44,0
139,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,43,5.17,63.19
140,M,Prince George,Baker,Bakery,Prince George,Stores,57,4.93,101.93
141,M,Burns Lake,Baker,Bakery,Prince George,Stores,43,2.48,45.49
142,F,Midway,Baker,Bakery,Trail,Stores,50,3.01,124.2
143,M,Victoria,Baker,Bakery,Victoria,Stores,49,4.69,56.92
144,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40,16.85,0
145,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44,11.95,111.78
146,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35,13.71,0
147,M,Westwold,Baker,Bakery,Vernon,Stores,61,3.44,96.26
148,M,Victoria,Baker,Bakery,Victoria,Stores,48,3.44,58.15
149,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35,5.69,40.15
150,F,Vananda,Baker,Bakery,Nanaimo,Stores,38,7.02,92.25
151,M,Terrace,Baker,Bakery,Terrace,Stores,58,5.59,116.08
152,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,37,2.76,24.5
153,M,New Westminster,Baker,Bakery,New Westminster,Stores,38,2.52,17.07
154,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40,6.41,90.17
155,M,Victoria,Baker,Bakery,Victoria,Stores,49,6.15,46.53
156,F,Golden,Baker,Bakery,Cranbrook,Stores,56,4.51,156.69
157,F,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,27,5.88,14.39
158,F,Vernon,Baker,Bakery,Vernon,Stores,52,2.86,113.26
159,F,Hixon,Baker,Bakery,Prince George,Stores,61,2.77,159.97
160,M,Sechelt,Baker,Bakery,West Vancouver,Stores,66,4.24,223.78
161,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44,23.75,0
162,M,New Westminster,Baker,Bakery,New Westminster,Stores,40,3.84,79.12
163,M,White Rock,Baker,Bakery,White Rock,Stores,57,6.03,154.26
164,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,31,4.08,0
165,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36,17.81,0
166,F,Richmond,Baker,Bakery,Richmond,Stores,52,6.52,88.46
167,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,31,4.99,0
168,M,Whistler,Baker,Bakery,Squamish,Stores,55,5.58,95.5
169,M,Surrey,Baker,Bakery,Surrey,Stores,50,3.42,120.08
170,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,43,13.56,0
171,F,Logan Lake,Baker,Bakery,Kamloops,Stores,30,5.29,0
172,F,Summerland,Baker,Bakery,Kelowna,Stores,43,0.7,82.9
173,F,Victoria,Baker,Bakery,Victoria,Stores,49,5.04,121.37
174,M,Prince George,Baker,Bakery,Prince George,Stores,38,4,34.2
175,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,46,14.41,69.48
176,M,Kelowna,Baker,Bakery,Kelowna,Stores,44,4.48,56.2
177,F,New Westminster,Baker,Bakery,New Westminster,Stores,44,4.98,61.49
178,F,Victoria,Baker,Bakery,Victoria,Stores,43,5.98,60.09
179,F,Victoria,Baker,Bakery,Victoria,Stores,44,0.84,66.32
180,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,46,3.84,71.56
181,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,38,6.98,33.94
182,F,Victoria,Baker,Bakery,Victoria,Stores,33,3.96,46.92
183,M,Langley,Baker,Bakery,Langley,Stores,40,3.2,40.23
184,M,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,38,4.95,29.16
185,F,Victoria,Baker,Bakery,Victoria,Stores,42,2.05,44.16
186,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,45,12.69,47.51
187,M,Kamloops,Baker,Bakery,Kamloops,Stores,34,4.04,0
188,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,49,1,121.79
189,M,Victoria,Baker,Bakery,Victoria,Stores,35,5.03,31.14
190,F,New Westminster,Baker,Bakery,New Westminster,Stores,54,5.14,79.22
191,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,44,25.93,38.56
192,F,Chilliwack,Baker,Bakery,Chilliwack,Stores,19,4.47,0
193,F,Huntingdon,Baker,Bakery,Abbotsford,Stores,47,5.31,44.74
194,M,Nelson,Baker,Bakery,Nelson,Stores,45,4.42,93.42
195,M,Burnaby,Baker,Bakery,Burnaby,Stores,49,5.7,96.66
196,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,51,1.27,71.73
197,M,Yale,Baker,Bakery,Chilliwack,Stores,59,3.24,109.25
198,M,Aiyansh,Baker,Bakery,Terrace,Stores,36,4.45,12.58
199,M,Richmond,Baker,Bakery,Richmond,Stores,51,3.68,34.07
200,F,Penticton,Baker,Bakery,Kelowna,Stores,57,5.89,154.81
201,M,Richmond,Baker,Bakery,Richmond,Stores,53,5.3,90.29
202,M,Victoria,Baker,Bakery,Victoria,Stores,52,3.96,113.07
203,F,Haney,Baker,Bakery,Haney,Stores,52,3.91,106.57
204,F,New Westminster,Baker,Bakery,New Westminster,Stores,35,5.87,12.1
205,M,Kamloops,Baker,Bakery,Kamloops,Stores,53,4.22,84.32
206,M,Surrey,Baker,Bakery,Surrey,Stores,44,5.17,66.35
207,M,Richmond,Baker,Bakery,Richmond,Stores,41,5.49,0
208,F,Nelson,Baker,Bakery,Nelson,Stores,19,3.82,0
209,F,Bowen Island,Auditor,Audit,Vancouver,FinanceAndAccounting,58,19.25,72.92
210,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,53,35.31,0
211,M,Fort Langley,Baker,Bakery,Langley,Stores,33,4.66,0
212,M,Clinton,Baker,Bakery,Kamloops,Stores,36,4.95,33.53
213,M,Prince George,Baker,Bakery,Prince George,Stores,45,5.17,61.73
214,F,Cassiar,Baker,Bakery,Terrace,Stores,13,3.03,0
215,M,Victoria,Baker,Bakery,Victoria,Stores,54,4.24,111.05
216,M,Surrey,Baker,Bakery,Surrey,Stores,60,2.25,174.68
217,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,37,19.1,46.77
218,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,45,11.37,41.62
219,M,Victoria,Baker,Bakery,Victoria,Stores,44,5.5,95.42
220,M,Victoria,Baker,Bakery,Victoria,Stores,45,4.59,22.49
221,F,Kelowna,Baker,Bakery,Kelowna,Stores,37,6.27,59.39
222,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,50,12.69,57.23
223,M,Surrey,Baker,Bakery,Surrey,Stores,43,2.48,45.14
224,M,Victoria,Baker,Bakery,Victoria,Stores,35,6.46,50.52
225,M,Pender Harbour,Baker,Bakery,Victoria,Stores,45,4.55,62.15
226,F,New Westminster,Baker,Bakery,New Westminster,Stores,40,6.61,16.06
227,F,Kamloops,Baker,Bakery,Kamloops,Stores,48,2.36,85.38
228,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,44,26.19,0
229,M,Victoria,Baker,Bakery,Victoria,Stores,42,4,39.68
230,F,Parksville,Baker,Bakery,Nanaimo,Stores,44,5.52,57.19
231,F,Kamloops,Baker,Bakery,Kamloops,Stores,37,6.88,38.1
232,F,Quesnel,Baker,Bakery,Quesnel,Stores,42,3.73,118.59
233,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,39,14.61,28.9
234,M,New Westminster,Baker,Bakery,New Westminster,Stores,43,5.96,73.4
235,M,New Westminster,Baker,Bakery,New Westminster,Stores,48,4.93,86.86
236,F,Richmond,Baker,Bakery,Richmond,Stores,45,6.27,106.77
237,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,35,6.34,0
238,F,Mcleese Lake,Baker,Bakery,Williams Lake,Stores,52,5.21,107.83
239,M,Surrey,Baker,Bakery,Surrey,Stores,43,2.83,10.68
240,F,Fort St John,Baker,Bakery,Fort St John,Stores,38,2.22,32
241,F,Campbell River,Baker,Bakery,Nanaimo,Stores,51,7.1,131.02
242,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,54,5.64,123.56
243,F,Wells,Baker,Bakery,Kamloops,Stores,29,2.24,21.04
244,F,New Westminister,Baker,Bakery,New Westminister,Stores,56,5.23,173.84
245,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,43,8.11,20.94
246,F,Manning Park,Baker,Bakery,Chilliwack,Stores,38,2.91,47.54
247,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,38,5.39,30.82
248,F,Decker Lake,Baker,Bakery,Prince George,Stores,36,7.14,27.6
249,F,Salmon Arm,Baker,Bakery,Kamloops,Stores,55,5.92,152.12
250,F,Victoria,Baker,Bakery,Victoria,Stores,45,4.78,39.58
251,M,Burnaby,Baker,Bakery,Burnaby,Stores,56,6.9,174.86
252,F,Prince George,Baker,Bakery,Prince George,Stores,34,1.62,4.01
253,M,Sooke,Baker,Bakery,Victoria,Stores,36,3.58,65.58
254,M,Vernon,Baker,Bakery,Vernon,Stores,31,3.68,0
255,F,Prince George,Baker,Bakery,Prince George,Stores,36,4.16,44.5
256,F,Horsefly,Baker,Bakery,Prince George,Stores,31,5.35,0
257,M,Invermere,Baker,Bakery,Cranbrook,Stores,45,4.19,91.35
258,F,Creston,Baker,Bakery,Cranbrook,Stores,38,6.73,59.96
259,F,New Westminster,Baker,Bakery,New Westminster,Stores,38,5.01,28.54
260,F,Topley,Baker,Bakery,Prince George,Stores,55,3.41,112.61
261,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,53,5.33,84.61
262,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,33,5.88,20.53
263,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,29,4.4,0
264,M,Armstrong,Baker,Bakery,Vernon,Stores,36,3.14,26.7
265,M,Field,Baker,Bakery,Cranbrook,Stores,46,3.96,28.78
266,F,New Westminster,Baker,Bakery,New Westminster,Stores,32,5.77,40.5
267,M,Youbou,Baker,Bakery,Victoria,Stores,40,3.64,49.91
268,M,Fort St John,Baker,Bakery,Fort St John,Stores,45,5.47,71.62
269,F,Kelowna,Baker,Bakery,Kelowna,Stores,40,7.97,22.73
270,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,48,5.41,20.11
271,M,Bowen Island,Bakery Manager,Bakery,Vancouver,Stores,22,2.82,0
272,F,Surrey,Baker,Bakery,Surrey,Stores,49,5.34,75.6
273,M,Sorrento,Baker,Bakery,Kamloops,Stores,38,3.98,3.03
274,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,38,3.29,18.77
275,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,57,5.42,122.66
276,F,Surrey,Baker,Bakery,Surrey,Stores,34,5.72,28.4
277,F,Victoria,Baker,Bakery,Victoria,Stores,29,3.33,36.26
278,F,Victoria,Baker,Bakery,Victoria,Stores,54,4.73,73.94
279,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,56,5.61,85.86
280,F,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,49,4.27,74.28
281,M,Victoria,Baker,Bakery,Victoria,Stores,46,5.45,104.03
282,M,Victoria,Baker,Bakery,Victoria,Stores,36,2.75,0
283,M,Prince George,Baker,Bakery,Prince George,Stores,40,5.31,36.86
284,F,Merritt,Baker,Bakery,Kamloops,Stores,43,4.87,38.29
285,M,Crawford Bay,Baker,Bakery,Cranbrook,Stores,38,4.97,28.63
286,F,Richmond,Baker,Bakery,Richmond,Stores,45,6.96,75.08
287,F,Rossland,Baker,Bakery,Trail,Stores,59,5.31,146
288,F,New Westminster,Baker,Bakery,New Westminster,Stores,30,7.85,46.68
289,M,Victoria,Baker,Bakery,Victoria,Stores,64,4.61,198.61
290,M,Sidney,Baker,Bakery,Victoria,Stores,37,3.62,0
291,M,New Westminster,Baker,Bakery,New Westminster,Stores,48,5.88,76.72
292,F,Kamloops,Baker,Bakery,Kamloops,Stores,12,4.87,0
293,M,Castlegar,Baker,Bakery,Trail,Stores,31,6.69,0
294,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,48,7.09,101.19
295,M,Williams Lake,Baker,Bakery,Williams Lake,Stores,46,4.18,102.81
296,F,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,36,3.4,95.89
297,F,New Westminster,Baker,Bakery,New Westminster,Stores,53,2.69,139.69
298,F,Kelowna,Baker,Bakery,Kelowna,Stores,48,4.32,68.54
299,F,Pender Harbour,Baker,Bakery,Victoria,Stores,28,3.79,0
300,M,Victoria,Baker,Bakery,Victoria,Stores,47,4.96,44.49
301,M,Quesnel,Baker,Bakery,Quesnel,Stores,41,4.31,0
302,F,Spences Bridge,Baker,Bakery,Kamloops,Stores,43,3.41,68.67
303,M,Vancouver,Benefits Admin,Employee Records,Vancouver,HumanResources,50,26.08,57.21
304,M,New Westminster,Baker,Bakery,New Westminster,Stores,39,4.99,0
305,M,West Vancouver,Cashier,Customer Service,West Vancouver,Stores,56,6.08,83.18
306,M,Richmond,Baker,Bakery,Richmond,Stores,31,3.84,0
307,M,New Westminster,Baker,Bakery,New Westminster,Stores,46,5.62,35.37
308,F,Vancouver,Benefits Admin,Employee Records,Vancouver,HumanResources,53,5.08,60.25
309,F,Vancouver,Benefits Admin,Employee Records,Vancouver,HumanResources,56,15.91,0
310,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,46,3.98,65.7
311,M,Langley,Baker,Bakery,Langley,Stores,47,5.69,86.28
312,M,Willow Point,Baker,Bakery,Trail,Stores,46,4.44,75.86
313,F,Vancouver,Benefits Admin,Employee Records,Vancouver,HumanResources,55,32.35,113.9
314,F,Langley,Baker,Bakery,Langley,Stores,39,1.97,40.51
315,F,Abbotsford,Baker,Bakery,Abbotsford,Stores,64,2.06,206.87
316,M,Penticton,Baker,Bakery,Kelowna,Stores,46,3.79,35.57
317,F,Vancouver,Benefits Admin,Employee Records,Vancouver,HumanResources,53,9.94,42.15
318,M,New Westminster,Baker,Bakery,New Westminster,Stores,46,3.81,107.71
319,F,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,38,4.49,71.14
320,M,Kelowna,Baker,Bakery,Kelowna,Stores,61,2.43,181.06
321,M,Vancouver,Benefits Admin,Employee Records,Vancouver,HumanResources,50,21.96,21.18
322,F,Vancouver,Compensation Analyst,Compensation,Vancouver,HumanResources,39,13.41,0
323,M,Nelson,Baker,Bakery,Nelson,Stores,27,3.3,0
324,M,Vancouver,Compensation Analyst,Compensation,Vancouver,HumanResources,50,31.74,0
325,F,Vancouver,Compensation Analyst,Compensation,Vancouver,HumanResources,55,17.75,72.3
326,F,Surrey,Baker,Bakery,Surrey,Stores,49,3.4,90.59
327,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,38,6.2,13.95
328,M,Richmond,Baker,Bakery,Richmond,Stores,38,7.78,43.27
329,F,North Vancouver,Baker,Bakery,North Vancouver,Stores,14,3.47,0
330,M,Aldergrove,Cashier,Customer Service,Aldergrove,Stores,46,6.77,44.97
331,M,Woss,Baker,Bakery,Cranbrook,Stores,42,5.24,39.07
332,F,New Westminster,Baker,Bakery,New Westminster,Stores,50,3.91,127.15
333,M,Cobble Hill,Baker,Bakery,Victoria,Stores,60,6.86,125.88
334,M,Lac La Hache,Baker,Bakery,Williams Lake,Stores,41,6.95,58.95
335,M,Victoria,Baker,Bakery,Victoria,Stores,54,3.57,129.27
336,M,Bob Quinn Lake,Baker,Bakery,Terrace,Stores,52,4.25,90.27
337,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,49,4.25,73.93
338,M,Hedley,Baker,Bakery,Princeton,Stores,41,4.33,7.23
339,F,Sardis,Baker,Bakery,Chilliwack,Stores,52,0.94,145.88
340,F,Gold Bridge,Baker,Bakery,Kamloops,Stores,34,4.39,23.06
341,F,Victoria,Baker,Bakery,Victoria,Stores,48,4.46,50.69
342,F,Sparwood,Baker,Bakery,Cranbrook,Stores,42,3.55,87.1
